Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Tenkanen A., Keinänen M., Oksanen E., Keski-Saari S., Kontunen-Soppela S.","Polar day syndrome: differences in growth, photosynthetic traits and sink-size patterns between northern and southern Finnish silver birch (Betula pendula Roth) provenances in native and non-native photoperiods",2023,"Tree physiology","10.1093/treephys/tpac104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143485386&doi=10.1093%2ftreephys%2ftpac104&partnerID=40&md5=ee70d6049853da2ea2a717f139570d06","Continuous light (CL) is available throughout the polar day for plants in the Arctic during the growing season, whereas provenances of the same species experience a very different environment with non-CL (NCL) just a few latitudes to the south. Both provenances need to acclimate to climate warming, yet we lack comprehensive understanding of how their growth, photosynthesis and leaf traits differ. Further, the provenances presumably have morphological and physiological adaptations to their native environments and therefore differ in response to photoperiod. We tested the height growth, leaf longevity, biomass accumulation, biomass allocation and rates of gas exchange of northern (67°N) and southern (61°N) Finnish silver birch (Betula pendula Roth) origins in CL- and NCL-treatments in a 4-month chamber experiment. Irrespective of photoperiod, 67°N had higher area-based photosynthetic rate (Anet), stomatal conductance (gs) and relative height growth rate (RGR), but lower stomatal density and fewer branches and leaves than 61°N. Photoperiod affected height growth cessation, biomass and photosynthetic traits, whereas leaf longevity and many leaf functional traits remained unchanged. In CL, both provenances had lower gs, higher RGR, increased shoot:root ratio and increased sink sizes (more branching, more leaves, increased total plant dry weight) compared with NCL. In NCL, 67°N ceased height growth earlier than in CL, which altered biomass accumulation and distribution patterns. Northern conditions impose challenges for plant growth and physiology. Whether a provenance inhabits and is adapted to an area with or without CL can also affect its response to the changing climate. Northern birches may have adapted to CL and the short growing season with a 'polar day syndrome' of traits, including relatively high gas exchange rates with low leaf biomass and growth traits that are mainly limited by the environment and the earlier growth cessation (to avoid frost damage). © The Author(s) 2022. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.","Betula pendula (silver birch); biomass allocation; continuous light; ecotype; gas exchange; growth rate; leaf longevity; photoperiod; photosynthesis; shoot:root ratio","birch; Finland; photoperiodicity; photosynthesis; physiology; plant leaf; Betula; Finland; Photoperiod; Photosynthesis; Plant Leaves",Article,Scopus
"Chen X., Liu W., Zhang Y.-Y., Zhang Y.","Altered trait covariances between invasive and native ranges of a global plant invader",2023,"Functional Ecology","10.1111/1365-2435.14298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148533939&doi=10.1111%2f1365-2435.14298&partnerID=40&md5=7806fc64462cd9e8568e746e13a1e2b0","Increasing evidence suggests that invasive populations adapt to the novel environments rapidly, and the ability of rapid adaptation depends on genetically-based trait variation and covariation. However, few studies have investigated the trait covariance in the native and invasive ranges. Such investigation will give a more comprehensive picture of how historical contingency and adaptation shape invasiveness, contributing to the prediction of future invasion dynamics. Here, we collected seven and nine populations alongside latitudes from invasive and native ranges of a global invasive plant, Spartina alterniflora, and planted them in two common gardens at the southernmost and northernmost sites of the invasive range. We measured plant traits, including the first flowering time, plant height and seed set, and analysed how these traits varied with garden sites and populations' origin latitudes and how their covariance changed between ranges. We found that plants flowered later, grew taller and set more seeds in the high-latitude garden than the low-latitude one. The growth and expression of genetic variation of traits appeared to be limited by high ambient temperature in the low-latitude garden. In the high-latitude garden, the flowering time of populations showed clinal variation for both invasive and native populations, whereas the plant height and seed set showed clinal variation only for native or invasive populations. From the native to the invasive range, the flowering time and seed set developed negative genetic covariance, and flowering time and plant height changed from negative genetically correlated to uncorrelated. Our results suggested that S. alterniflora has experienced rapid adaptation to clinal and local conditions over the 40-year invasion. Such geographic-scale rapid adaptation appeared to have benefited from previously identified genetic admixture that has released the trait covariance. Our study highlights the importance of integrating full-range geographical surveys with introduction history to understand the potential and mechanisms of trait evolution during invasion. Read the free Plain Language Summary for this article on the Journal blog. © 2023 The Authors. Functional Ecology © 2023 British Ecological Society.","biological invasion; genetic constraint; latitudinal gradient; rapid adaptation; traits covariances",,Article,Scopus
"Xiang H., Li K., Cao L., Zhang Z., Yang H.","Global patterns and drivers of coniferous leaf-litter decomposition in streams and rivers",2022,"Frontiers in Ecology and Evolution","10.3389/fevo.2022.940254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136831661&doi=10.3389%2ffevo.2022.940254&partnerID=40&md5=00d6c37792a2ab0cadcdd14b3244578c","Many streams and rivers are heterotrophic ecosystems that are highly dependent on cross-ecosystem subsidies such as leaf litter (LL). Terrestrial LL can be consumed by macroinvertebrates and microbes to fuel the detrital-based food webs in freshwaters. To date, our knowledge of LL decomposition in freshwaters is largely based on broadleaved LL, while the patterns and drivers of coniferous leaf-litter (CLL) decomposition in streams and rivers remain poorly understood. Here, we present a global investigation of CLL decomposition in streams and rivers by collecting data from 35 publications. We compared LL breakdown rates in this study with other global-scale studies (including conifers and broadleaved species), between evergreen and deciduous conifers, and between native and invasive conifers. We also investigated the climatic, geographic (latitude and altitude), stream physicochemical characteristics, and experimental factors (e.g., mesh size and experimental duration) in influencing CLL decomposition. We found that the following: (1) LL breakdown rates in this study were 18.5–28.8 and 4.9–16.8% slower than those in other global-scale studies when expressed as per day and per degree day, respectively. Conifer LL in coarse mesh bags, for evergreen and invasive conifers, decomposed 13.6, 10.3, and 10.8% faster than in fine mesh bags, for deciduous and native conifers, respectively; (2) CLL traits, stream physicochemical characteristics, and experimental factors explained higher variations in CLL decomposition than climatic and geographic factors; (3) CLL nutritional quality (N and P), water temperature, and experimental duration were better predictors of CLL decomposition than other predictors in categories of LL traits, stream physicochemical characteristics, and experimental factors, respectively; and (4) total and microbial-mediated CLL breakdown rates showed linear relationships with latitude, altitude, mean annual temperature, and mean annual precipitation. Our results imply that the replacement of native forests by conifer plantation would impose great impacts on adjacent freshwaters by retarding the LL processing rate. Moreover, future climate warming which is very likely to happen in mid- and high-latitude areas according to the IPCC 6th report would accelerate LL decomposition, with a potential consequence of food depletion for detritivores in freshwaters during hot summers. Copyright © 2022 Xiang, Li, Cao, Zhang and Yang.","cross-ecosystem subsidy; ecosystem functioning; freshwater; latitude; leaf-litter breakdown rate; leaf-litter trait; water temperature",,Article,Scopus
"Krieger M.-T., Ditton J., Albrecht H., Baaij B.M., Kollmann J., Teixeira L.H.","Controlling the abundance of a native invasive plant does not affect species richness or functional diversity of wet grasslands",2022,"Applied Vegetation Science","10.1111/avsc.12676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139116204&doi=10.1111%2favsc.12676&partnerID=40&md5=49effd289ef92cad18186f6fc416e730","Aim: In this study, we tested plant community-based management methods to reduce the abundance of the invasive native plant Jacobaea aquatica (marsh ragwort). As J. aquatica mainly occurs in species-rich wet grasslands, our aim was to define management measures that do not reduce the conservation value of the resident communities. Location: Data were collected from 20 independent sites which varied in productivity and management intensity across the pre-alpine Allgäu region (South Germany). Methods: We monitored effects of temporary abandonment and decreased mowing intensity in very low- and low-productive sites, as well as of decreased mowing and fertilization at moderately productive sites. Abundances of J. aquatica and the co-occurring species were recorded at start and end of two experiments (2018–2021: very low- and low-productive conservation grasslands; 2017–2020: moderately productive agricultural grasslands), while functional traits data of all species were gathered from the literature and specific databases. Generalized linear mixed-effects models (GLMMs) were used to analyse the effects of management intensity on the abundance of J. aquatica, functional diversity and species richness of the resident communities. Results: At all productivity levels, the abundance of J. aquatica declined under reduced management. Changes in community composition and species richness of the resident community were less pronounced than the reduction of J. aquatica, but species richness declined under lowest management intensities. Thus, moderate reduction in management intensity provided the most benefits in terms of reduction of J. aquatica, and maintenance of species richness and composition of the resident plant community. Conclusions: Reducing management intensity in wet grasslands decreases the abundance of J. aquatica and thus is a suitable method to control this species. As plant community responses were only partially consistent, management plans must account for the productivity of invaded sites. To avoid negative effects on grassland biodiversity, only moderate suppression of J. aquatica is recommended. © 2022 The Authors. Applied Vegetation Science published by John Wiley & Sons Ltd on behalf of International Association for Vegetation Science.","community structure; cutting management; functional dispersion; functional redundancy; Jacobaea aquatica; marsh ragwort; native invader; plant diversity; weed control; wet grasslands",,Article,Scopus
"Kostrakiewicz-Gierałt K., Pliszko A., Barabasz-Krasny B., Bomanowska A., Dajdok Z., Gudžinskas Z., Kucharczyk M., Maćkowiak Ł., Majk J., Możdżeń K., Podgórska M., Rasimavičius M., Rewicz A., Szczęśniak E., Wójcik T., Stachurska-Swakoń A.","The Relationships of Habitat Conditions, Height Level, and Geographical Position with Fruit and Seed Traits in Populations of Invasive Vine Echinocystis lobata (Cucurbitaceae) in Central and Eastern Europe",2022,"Forests","10.3390/f13020256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124212015&doi=10.3390%2ff13020256&partnerID=40&md5=f3547bbef0bf4b64d6eacb18f241f968","In climbing plants, fruits can be formed at different heights, depending on the height of external support. However, the effect of height on fruit and seed traits in invasive vines of Cucurbitaceae has not been intensively studied so far. In Europe, Echinocystis lobata, a North American member of Cucurbitaceae, is considered one of the most abundant invasive alien plants spreading in natural riparian forests, thickets, and tall herbs, whereas it is a rare species in urban woodlands. In this study, we tested the variability of selected fruit and seed traits of E. lobata in connection with habitat origin (natural, semi-natural, and anthropogenic), habitat type (using the EUNIS habitat classification), height (the distance between the fruit and the ground), and geographical position. The study was conducted in 2018 in 65 sites located in Latvia, Lithuania, Poland, and Slovakia. In each study site, a random sample of 10 fresh mature fruits of E. lobata was collected from subsequent 0.50 m intervals of height. The length, the width, and the weight of the fresh fruits, as well as the total number of seeds and number of undeveloped seeds per fruit, were examined. Moreover, the well-developed seeds from selected study sites were weighed. The statistical analysis showed the significant effect of habitat origin, habitat type, and height on most of the studied fruit and seed traits. The largest range of height (from 0.00 to 4.00 m) was observed in two types of habitats (F— heathland, scrub, and tundra; and G—woodland, forest, and other wooded land). The total number of seeds per fruit was positively correlated with the length, width, and weight of the fresh fruits. The fruits were a little heavier and bigger in natural habitats located in the northeast of the study area. The distribution of fruits at different heights may contribute to better dispersal of seeds by animals and wind, and may also better protect the seeds from being eaten by granivorous animals. The defence against seed-eating animals is expected to be stronger in semi-natural habitats, as well as on banks and shores of inland surface waters, where the seed production is the highest. The influence of seed traits on seed germination and seedling survival in various habitats and their importance in the invasiveness of E. lobata require further study. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Climbing plants; Fruit and seed size; Invasive alien species; Morphological variability","Animals; Ecosystems; Forestry; Seed; Urban growth; Climbing plant; Cucurbitaceae; Different heights; Fruit size; Geographical positions; Habitat type; Invasive alien species; Morphological variability; Seed size; Study sites; Fruits; biological invasion; fruit; introduced species; invasive species; morphology; seedling; Animals; Eastern Europe; Ecosystems; Forestry; Fruits; Height; Plants; Latvia; Lithuania; Poland [Central Europe]; Slovakia",Article,Scopus
"Rastgoo M., Nezami A., Hasanfard A., Nabati J., Ahmadi-Lahijani M.J.","Freezing stress induces changes in the morphophysiological of chickpea and wild mustard seedlings",2022,"Legume Science","10.1002/leg3.173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143978041&doi=10.1002%2fleg3.173&partnerID=40&md5=a8044747622be715fb5b686c95545af4","Wild mustard is one of the common and troublesome winter weeds of chickpea fields and a great competitor to reduce the chickpea productivity. Plant species (chickpeas cv. Saral and wild mustard) were compared at freezing temperatures (+4 as a control, 0, −4, −8, −12, −16, and −20°C) based on the morphophysiological traits and their recovery ability. Chickpea chlorophyll fluorescence was more sensitive to low temperatures than wild mustard. Chickpea and wild mustard Fv′/Fm′ (light-adapted maximum efficiency of photosystem II [PSII] photochemistry) decrease 33% and 11% exposed to −16°C, respectively, compared with +4°C. Particularly at lower temperatures, wild mustard electrolyte leakage was smaller than that of chickpea; the temperature drop had a greater impact on the stems than the leaves. Per temperature degree drop from −12 to −20°C, the survival probability decreased by 12.5%. Wild mustard had a greater root dry matter (RDM) compared with chickpea plants. 50% dry matter depression temperature (RDMT50) could better distinguish among the species freezing response; wild mustard RDMT50 was ~1°C higher than chickpea. Plant survival and Fv′/Fm′ correlation suggested the reliability of chlorophyll fluorescence measurements to assay plants freezing tolerance. The important contribution of a more powerful root system to wild mustard survival under adverse circumstances may be suggested by the positive association between plant survival and RDM. Higher tolerance of wild mustard to freezing stress ultimately leads to greater survival, regeneration, continued growth, and geographical distribution. Therefore, the wild mustard invasion will be possible in chickpea fields after freezing stress, especially in the cold climates and high-altitude regions. © 2022 The Authors. Legume Science published by Wiley Periodicals LLC.","chlorophyll fluorescence; instantaneous WUE; mesophyll conductance; photochemical quenching; stomatal conductance; survival",,Article,Scopus
"Xia S., Song Z., Van Zwieten L., Guo L., Yu C., Wang W., Li Q., Hartley I.P., Yang Y., Liu H., Wang Y., Ran X., Liu C.-Q., Wang H.","Storage, patterns and influencing factors for soil organic carbon in coastal wetlands of China",2022,"Global Change Biology","10.1111/gcb.16325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134538441&doi=10.1111%2fgcb.16325&partnerID=40&md5=93b5b5c7c316aedfa16c8a0138f2147f","Soil organic carbon (SOC) in coastal wetlands, also known as “blue C,” is an essential component of the global C cycles. To gain a detailed insight into blue C storage and controlling factors, we studied 142 sites across ca. 5000 km of coastal wetlands, covering temperate, subtropical, and tropical climates in China. The wetlands represented six vegetation types (Phragmites australis, mixed of P. australis and Suaeda, single Suaeda, Spartina alterniflora, mangrove [Kandelia obovata and Avicennia marina], tidal flat) and three vegetation types invaded by S. alterniflora (P. australis, K. obovata, A. marina). Our results revealed large spatial heterogeneity in SOC density of the top 1-m ranging 40–200 Mg C ha−1, with higher values in mid-latitude regions (25–30° N) compared with those in both low- (20°N) and high-latitude (38–40°N) regions. Vegetation type influenced SOC density, with P. australis and S. alterniflora having the largest SOC density, followed by mangrove, mixed P. australis and Suaeda, single Suaeda and tidal flat. SOC density increased by 6.25 Mg ha−1 following S. alterniflora invasion into P. australis community but decreased by 28.56 and 8.17 Mg ha−1 following invasion into K. obovata and A. marina communities. Based on field measurements and published literature, we calculated a total inventory of 57 × 106 Mg C in the top 1-m soil across China's coastal wetlands. Edaphic variables controlled SOC content, with soil chemical properties explaining the largest variance in SOC content. Climate did not control SOC content but had a strong interactive effect with edaphic variables. Plant biomass and quality traits were a minor contributor in regulating SOC content, highlighting the importance of quantity and quality of OC inputs and the balance between production and degradation within the coastal wetlands. These findings provide new insights into blue C stabilization mechanisms and sequestration capacity in coastal wetlands. © 2022 John Wiley & Sons Ltd.","blue carbon; climate change; coastal wetlands; mangrove; plant invasion; salt marsh; vegetation type","carbon; chemistry; China; introduced species; physiology; Poaceae; soil; wetland; Carbon; China; Introduced Species; Poaceae; Soil; Wetlands",Article,Scopus
"Wan J.-Z., Wang C.-J., Zimmermann N.E., Li M.-H., Pouteau R., Yu F.-H.","Current and future plant invasions in protected areas: Does clonality matter?",2021,"Diversity and Distributions","10.1111/ddi.13425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116574413&doi=10.1111%2fddi.13425&partnerID=40&md5=aa6f1a515ecbea36bf469d90d68e0f75","Aim: Protected areas (PAs) play an important role in biodiversity conservation, but remain increasingly threatened by invasive alien plant species (IAPS) in conjunction with global climate change. The latter is modifying the distribution of the former, and the magnitude and direction of distributional changes are predicted to vary depending on species dispersal mode. Here, we address the question of whether clonality is expected to affect the future invasion pattern in PAs. Location: Worldwide. Time period: 1950–2100. Major taxa studied: 36 invasive alien plant species. Methods: We used ensembles of three species distribution models (GLM, GAM and Maxent) based on >70,000 occurrence records to project the distribution of 36 of the world's most invasive clonal and non-clonal plants in >20,000 PAs. Projections were based on three greenhouse gas concentration scenarios (low, medium and high) for 2080. Results: Climate change showed little impact on the global invasion pattern in PAs, and clonality showed little effect when all biomes were processed in concert. However, we discerned that the future invasion risk of clonal IAPS markedly increased in biomes located at high elevation and high latitude compared with non-clonal IAPS, while the risk decreased in lower-elevation tropical and subtropical biomes where asexual reproduction may be a less successful trait. We also showed that invasion hot spots overlapped with biodiversity hot spots and two realms (i.e. Nearctic and Palearctic), which calls for bridging the gap between invasion and conservation sciences and for more concerted management strategies. Main conclusions: We suggest that effective management of IAPS in PAs should consider in which biomes PAs are located as well as the reproductive traits of IAPS that are present or may become so. © 2021 The Authors. Diversity and Distributions published by John Wiley & Sons Ltd.","alien plant species; biomes; clonal plants; greenhouse gas emissions; macro-ecology; species distribution models; world's worst invasive species","asexual reproduction; biodiversity; biological invasion; climate change; conservation management; endangered species; future prospect; global climate; invasive species; management practice; protected area",Article,Scopus
"Wang C.-J., Wan J.-Z.","Functional trait perspective on suitable habitat distribution of invasive plant species at a global scale",2021,"Perspectives in Ecology and Conservation","10.1016/j.pecon.2021.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122624135&doi=10.1016%2fj.pecon.2021.07.002&partnerID=40&md5=4f2fea5d79a09c774a7342daf3bb6f66","Plant invasion has been proved to threaten biodiversity conservation and ecosystem maintenance at a global scale. It is a challenge to project suitable habitat distributions of invasive plant species (IPS) for invasion risk assessment at large spatial scales. Interaction outcomes between native and invasive plant species are dependent as a function of trait context, which may contribute to suitable habitat distributions of IPS. Here, we explored the effect of functional trait context on suitable habitat distribution of invasive plant species at a global scale. The plant functional trait context was quantified based on the community mean values of specific leaf area, leaf nitrogen concentration, height, and woody density. Habitat suitability modeling was used to project suitable habitat distributions of IPS based on functional trait and abiotic (climate, soil, and human footprint) contexts. There were significant differences in contexts between functional traits and abiotic conditions for IPS across different biomes at a global scale. Community mean functional traits, particularly, height could contribute to habitat suitability of IPS. The functional trait context could have a large effect on the habitat suitability of IPS in Boreal forests/Taiga, Tropical and subtropical grasslands, savannas and shrublands, Tundra, Mediterranean forests, woodlands and scrub, and Mangroves. Functional trait context could affect suitable habitat distributions of IPS at a global scale, indicating that functional trait context should be used as the input for modeling habitat suitability of IPS. The study provided new insights into the application of habitat suitability modeling on plant invasion risk assessment. © 2021 Associação Brasileira de Ciência Ecológica e Conservação","Biome; Functional trait; Globe; Habitat suitability modeling; Plant invader; Risk assessment",,Article,Scopus
"Deng M., Huang H., Shen S., Wu J., La Q., Dorji T., Pan X.","Phenotypic plasticity of Alternanthera philoxeroides in response to simulated daily warming in the Tibet Plateau in introduced vs. native populations",2021,"Biodiversity Science","10.17520/BIODS.2021095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122086224&doi=10.17520%2fBIODS.2021095&partnerID=40&md5=1ea4df3f9fdba9bdeb1ec897f7224e93","Aims: Phenotypic plasticity for key traits in plants can adapt in response increasing temperatures seen through climate change. Under the evolution of increased phenotypic plasticity hypothesis, populations of invasive species have greater phenotypic plasticity than native populations. Studies of this hypothesis have mostly focused on the plasticity of invasive plants to light, water, nutrients, neighbors, and natural enemies. Studies focusing on these key plant traits under warming conditions are mostly concentrated in temperate and tropic regions, while alpine regions are overlooked. Additionally, these studies mostly focus on plant growth-related traits, while relatively little attention has been paid to plant resistance and the secondary metabolites of defense traits in response to warming, especially in alpine region. Here, test for differences in plant fitness traits, important functional traits, and defense traits in response to daily warming between introduced and native populations of invasive plants. Specifically, we explore the following questions: (1) Will the phenotypic plasticity of fitness traits, functional traits and defense traits of the invasive plant Alternanthera philoxeroides respond to daily air warming? (2) If so, does this response differ between introduced and native populations? (3) Does this response differ between alpine regions and tropic regions? Methods: Using 6 populations of the invasive plant A. philoxeroides from the introduced region in China and 6 populations from their native region in Argentina, we conducted a field experiment to simulate a daily warming of 2℃ in Lhasa City, Tibet Autonomous Region (Alpine region: 91.04° E, 29.64° N) from August to October 2020. We placed plants from each of the 12 populations into the control plots and the warming plots, and each treatment had three replicates. There were a total of 72 experimental units in the experiment (2 origins × 6 populations × 2 temperature treatments × 3 replicates). After 8 weeks of growth, we harvested all plants and measured the several variables. The fitness traits we measured included total biomass, ground biomass, storage root biomass and hair root biomass. The functional traits we measured included branching intensity, specific stem length, root-to-shoot ratio, and specific leaf area. The defense traits we measured included triterpenoid saponins and flavonoids. Results: Simulated daily warming of 2℃ significantly increased the total biomass of A. philoxeroides (+36.4%), the ground biomass (+34.5%), the storage root biomass (+51.4%), the hair root biomass (+33.6%), and reduced the specific stem length (–30.2%) and branching intensity (–19.8%). Simulated daily warming of 2℃ increased the specific leaf area (+15.1%) and flavonoids (+8.9%) of the introduced populations, while the native populations showed the opposite effect (–22.9%, –30.0%). Conclusions: These results indicate that simulated daily warming of 2℃ in alpine regions is a positive condition for the invasive plant A. philoxeroides. The fitness traits of the introduced populations have greater plasticity to simulated daily warming, and the plasticity of some plant functional traits and defense traits of the introduced populations may have greater fitness in alpine regions. As a consequence, we conclude that increasing temperatures due to global climate change may be beneficial to colonization and spread of introduced populations of A. philoxeroides in the alpine region. © 2021, Chinese Academy of Sciences. All rights reserved.","Evolution; Phenotypic plasticity; Plant invasion; Warming",,Article,Scopus
